seq,program_id,scene_no,key,target_wav,category,program_title,heading,narration
1,anat01,1,anat01-1,anat01-1.wav,解剖生理学,心臓の解剖と血液の流れを10分で完全マスター,心臓は4つの部屋でできているのだ,今日は心臓の解剖と血液の流れを勉強するのだ。心臓には右心房・右心室・左心房・左心室の4つの部屋があって、上が心房、下が心室なのだ。まずはこの名前と位置をおさえるのだ。
2,anat01,2,anat01-2,anat01-2.wav,解剖生理学,心臓の解剖と血液の流れを10分で完全マスター,体循環(大循環)の流れ,左心室から大動脈を通って、酸素たっぷりの血液が全身に送られるのだ。これが体循環なのだ。全身をめぐった血液は、大静脈から右心房にもどってくるのだ。
3,anat01,3,anat01-3,anat01-3.wav,解剖生理学,心臓の解剖と血液の流れを10分で完全マスター,肺循環(小循環)の流れ,右心室から肺動脈を通って、血液は肺へ向かうのだ。肺で二酸化炭素を捨てて酸素を受け取って、肺静脈から左心房へもどるのだ。肺動脈には酸素の少ない血が流れているのがポイントなのだ。
4,anat01,4,anat01-4,anat01-4.wav,解剖生理学,心臓の解剖と血液の流れを10分で完全マスター,4つの弁が逆流を防ぐ,部屋の出口には弁があって、血液が逆流しないようにしているのだ。右は三尖弁と肺動脈弁、左は僧帽弁と大動脈弁なのだ。弁のおかげで血液は一方向に流れるのだ。
5,anat01,5,anat01-5,anat01-5.wav,解剖生理学,心臓の解剖と血液の流れを10分で完全マスター,まとめなのだ,まとめなのだ。体循環は左心室から全身、肺循環は右心室から肺なのだ。弁が逆流を防いでいることも忘れないのだ。よくがんばったのだ!
6,anat02,1,anat02-1,anat02-1.wav,解剖生理学,腎臓のはたらき｜ネフロンと尿ができる仕組み,腎臓のしごとはおしっこ作りなのだ,腎臓の主なしごとは、血液をろ過しておしっこを作ることなのだ。いらない老廃物を捨てて、体の水分や電解質のバランスも整えているのだ。
7,anat02,2,anat02-2,anat02-2.wav,解剖生理学,腎臓のはたらき｜ネフロンと尿ができる仕組み,ネフロンが尿を作る単位,尿を作る最小の単位がネフロンなのだ。糸球体と尿細管のセットで、片方の腎臓に約100万個もあるのだ。ここでろ過と再吸収が行われるのだ。
8,anat02,3,anat02-3,anat02-3.wav,解剖生理学,腎臓のはたらき｜ネフロンと尿ができる仕組み,ろ過→再吸収→分泌,まず糸球体で血液をこしとって原尿を作るのだ。次に尿細管で、水分やブドウ糖など必要なものを再吸収するのだ。原尿のほとんどは再吸収されて、残りが尿になるのだ。
9,anat02,4,anat02-4,anat02-4.wav,解剖生理学,腎臓のはたらき｜ネフロンと尿ができる仕組み,ホルモンによる調整,腎臓はホルモンとも協力するのだ。ADHは水の再吸収を増やして尿を濃くするのだ。RAA系やアルドステロンは血圧やナトリウムを調整するのだ。
10,anat02,5,anat02-5,anat02-5.wav,解剖生理学,腎臓のはたらき｜ネフロンと尿ができる仕組み,まとめなのだ,まとめなのだ。腎臓はネフロンで尿を作って、原尿の大部分を再吸収するのだ。ADHやRAA系で水分・血圧を調整していることも覚えるのだ。
11,anat03,1,anat03-1,anat03-1.wav,解剖生理学,呼吸のメカニズムとガス交換のしくみ,呼吸には2種類あるのだ,呼吸には外呼吸と内呼吸があるのだ。外呼吸は肺で酸素を取り込んで二酸化炭素を出すこと、内呼吸は細胞が酸素を使うことなのだ。
12,anat03,2,anat03-2,anat03-2.wav,解剖生理学,呼吸のメカニズムとガス交換のしくみ,息を吸うしくみ,息を吸うときは横隔膜が下がって、胸の中が広がるのだ。すると肺の中の圧が下がって、空気が入ってくるのだ。吸気は筋肉を使う能動的な動きなのだ。
13,anat03,3,anat03-3,anat03-3.wav,解剖生理学,呼吸のメカニズムとガス交換のしくみ,ガス交換と酸素解離曲線,酸素は赤血球のヘモグロビンにくっついて運ばれるのだ。酸素解離曲線はS字を描いて、体温やpH、二酸化炭素の量で右や左にずれるのだ。
14,anat03,4,anat03-4,anat03-4.wav,解剖生理学,呼吸のメカニズムとガス交換のしくみ,まとめなのだ,まとめなのだ。呼吸は外呼吸と内呼吸、吸うときは横隔膜が主役なのだ。SpO2は体の酸素化の目安になるから、観察で大事なのだ。
15,anat04,1,anat04-1,anat04-1.wav,解剖生理学,自律神経まとめ｜交感神経と副交感神経の作用一覧,自律神経は2つでバランスを取るのだ,自律神経には交感神経と副交感神経があるのだ。交感神経は活動モード、副交感神経はお休みモードで、シーソーのようにバランスを取っているのだ。
16,anat04,2,anat04-2,anat04-2.wav,解剖生理学,自律神経まとめ｜交感神経と副交感神経の作用一覧,交感神経が優位のとき,交感神経が働くと、心臓はドキドキして血圧が上がるのだ。瞳孔は大きくなって、消化ははたらきを抑えられるのだ。戦うか逃げるかの体になるのだ。
17,anat04,3,anat04-3,anat04-3.wav,解剖生理学,自律神経まとめ｜交感神経と副交感神経の作用一覧,副交感神経が優位のとき,副交感神経が働くと、心拍はゆっくり、瞳孔は小さくなるのだ。消化は活発になるのだ。ごはんを食べてリラックスしているときの体なのだ。
18,anat04,4,anat04-4,anat04-4.wav,解剖生理学,自律神経まとめ｜交感神経と副交感神経の作用一覧,まとめなのだ,まとめなのだ。交感神経は活動、副交感神経は休息で、作用はだいたい逆なのだ。これが分かると自律神経の薬も理解しやすくなるのだ。
19,anat05,1,anat05-1,anat05-1.wav,解剖生理学,ホルモンと内分泌系の全体像をスッキリ整理,ホルモンは体内のメッセンジャーなのだ,ホルモンは体の中のメッセンジャーなのだ。内分泌腺から血液に出て、決まった標的器官に作用するのだ。ほんの少しの量で強く働くのが特徴なのだ。
20,anat05,2,anat05-2,anat05-2.wav,解剖生理学,ホルモンと内分泌系の全体像をスッキリ整理,命令の流れ:視床下部→下垂体,司令塔は視床下部で、その下の下垂体が各内分泌腺に指令を出すのだ。ホルモンが増えすぎると分泌を抑える、ネガティブフィードバックで量を調整しているのだ。
21,anat05,3,anat05-3,anat05-3.wav,解剖生理学,ホルモンと内分泌系の全体像をスッキリ整理,代表的なホルモン,たとえばインスリンは血糖を下げて、甲状腺ホルモンは代謝を上げるのだ。コルチゾールはストレスに対応するホルモンなのだ。
22,anat05,4,anat05-4,anat05-4.wav,解剖生理学,ホルモンと内分泌系の全体像をスッキリ整理,まとめなのだ,まとめなのだ。ホルモンは分泌の流れを押さえて、出すぎ(亢進)と足りない(低下)で起こる病気をセットで覚えるのだ。
23,base01,1,base01-1,base01-1.wav,基礎看護学,バイタルサイン測定の基本と正常値【保存版】,バイタルサインは体からのサインなのだ,バイタルサインは、体の状態を教えてくれる大事なサインなのだ。体温・脈拍・呼吸・血圧、それにSpO2を加えて観察するのだ。異常の早期発見にとても大切なのだ。
24,base01,2,base01-2,base01-2.wav,基礎看護学,バイタルサイン測定の基本と正常値【保存版】,おとなの正常値の目安,おとなの目安は、体温が約36〜37度、脈拍は1分間に60〜100回、呼吸は12〜20回くらいなのだ。施設ごとの基準も確認するのだ。
